Fecha,Nombre Embalse,Volumen Útil Diario Energía kWh,Volumen Máximo Util Gwh
2017-01-06,PUNCHINA,37995800,65.12
2017-01-06,RIOGRANDE2,427677100,560.59
2017-01-06,SAN LORENZO,393447300,422.91
2017-01-06,TRONERAS,53863300,71
2017-01-06,URRA1,151437000,158.45
2017-01-06,AGREGADO BOGOTA,1559906800,3763.5
2017-01-06,BETANIA,89423400,124.66
2017-01-06,EL QUIMBO,670411200,1113.81
2017-01-06,MUNA,31995000,57.6
2017-01-06,PRADO,57308100,57.2
2017-01-06,TOPOCORO,916361000,1003.3
2017-01-06,CHUZA,857079800,980.6
2017-01-06,ESMERALDA,905855100,1112.97
2017-01-06,GUAVIO,1524116600,2091.46
2017-01-06,ALTOANCHICAYA,12392700,36.88
2017-01-06,CALIMA1,135545100,217.04
2017-01-06,SALVAJINA,145734500,171.82
2017-01-07,AMANI,224553200,246.13
2017-01-07,MIRAFLORES,267795700,313.1
2017-01-07,PENOL,3584506100,4078.46
2017-01-07,PLAYAS,103866900,96.35
2017-01-07,PORCE II,84832000,130.14
2017-01-07,PORCE III,92516000,117.29
2017-01-07,PUNCHINA,30275300,65.12
2017-01-07,RIOGRANDE2,431844500,560.59
2017-01-07,SAN LORENZO,390783600,422.91
2017-01-07,TRONERAS,45529500,71
2017-01-07,URRA1,151082200,158.45
2017-01-07,AGREGADO BOGOTA,1554543600,3763.5
2017-01-07,BETANIA,88743200,124.66
2017-01-07,EL QUIMBO,666834300,1113.81
2017-01-07,MUNA,25550000,57.6
2017-01-07,PRADO,57096000,57.2
2017-01-07,TOPOCORO,924149000,1003.3
2017-01-07,CHUZA,857825600,980.6
2017-01-07,ESMERALDA,896938200,1112.97
2017-01-07,GUAVIO,1529742600,2091.46
2017-01-07,ALTOANCHICAYA,8212400,36.88
2017-01-07,CALIMA1,135995700,217.04
2017-01-07,SALVAJINA,146325200,171.82
2017-01-08,AMANI,220610400,246.13
2017-01-08,MIRAFLORES,270106000,313.1
2017-01-08,PENOL,3579449900,4078.46
2017-01-08,PLAYAS,108222300,96.35
2017-01-08,PORCE II,94900900,130.14
2017-01-08,PORCE III,80308500,117.29
2017-01-08,PUNCHINA,46565800,65.12
2017-01-08,RIOGRANDE2,441214700,560.59
2017-01-08,SAN LORENZO,396691300,422.91
2017-01-08,TRONERAS,39784000,71
2017-01-08,URRA1,151420200,158.45
2017-01-08,AGREGADO BOGOTA,1553443400,3763.5
2017-01-08,BETANIA,93421600,124.66
2017-01-08,EL QUIMBO,659816800,1113.81
2017-01-08,MUNA,28634400,57.6
2017-01-08,PRADO,57308100,57.2
2017-01-08,TOPOCORO,942486400,1003.3
2017-01-08,CHUZA,857328400,980.6
2017-01-08,ESMERALDA,888865100,1112.97
2017-01-08,GUAVIO,1517023900,2091.46
2017-01-08,ALTOANCHICAYA,16461900,36.88
2017-01-08,CALIMA1,136902200,217.04
2017-01-08,SALVAJINA,147616200,171.82
2017-01-09,AMANI,218808700,246.13
2017-01-09,MIRAFLORES,272215100,313.1
2017-01-09,PENOL,3566103800,4078.46
2017-01-09,PLAYAS,107723200,96.35
2017-01-09,PORCE II,106674800,130.14
2017-01-09,PORCE III,65631300,117.29
2017-01-09,PUNCHINA,43592800,65.12
2017-01-09,RIOGRANDE2,455216900,560.59
2017-01-09,SAN LORENZO,391047300,422.91
2017-01-09,TRONERAS,55055300,71
2017-01-09,URRA1,151602100,158.45
2017-01-09,AGREGADO BOGOTA,1551915000,3763.5
2017-01-09,BETANIA,92190600,124.66
2017-01-09,EL QUIMBO,654859900,1113.81
2017-01-09,MUNA,30429800,57.6
2017-01-09,PRADO,57308100,57.2
2017-01-09,TOPOCORO,959203900,1003.3
2017-01-09,CHUZA,855836900,980.6
2017-01-09,ESMERALDA,885260000,1112.97
2017-01-09,GUAVIO,1514074000,2091.46
2017-01-09,ALTOANCHICAYA,22479400,36.88
2017-01-09,CALIMA1,137451300,217.04
2017-01-09,SALVAJINA,149399400,171.82
2017-01-10,AMANI,221316700,246.13
2017-01-10,MIRAFLORES,272851000,313.1
2017-01-10,PENOL,3552753600,4078.46
2017-01-10,PLAYAS,103568600,96.35
2017-01-10,PORCE II,110764300,130.14
2017-01-10,PORCE III,73201900,117.29
2017-01-10,PUNCHINA,36084700,65.12
2017-01-10,RIOGRANDE2,449648200,560.59
2017-01-10,SAN LORENZO,395873700,422.91
2017-01-10,TRONERAS,48728200,71
2017-01-10,URRA1,150432100,158.45
2017-01-10,AGREGADO BOGOTA,1545470000,3763.5
2017-01-10,BETANIA,94042100,124.66
2017-01-10,EL QUIMBO,653109100,1113.81
2017-01-10,MUNA,41294300,57.6
2017-01-10,PRADO,57308100,57.2
2017-01-10,TOPOCORO,966854200,1003.3
2017-01-10,CHUZA,851371400,980.6
2017-01-10,ESMERALDA,885260000,1112.97
2017-01-10,GUAVIO,1507008300,2091.46
2017-01-10,ALTOANCHICAYA,22269800,36.88
2017-01-10,CALIMA1,137995200,217.04
2017-01-10,SALVAJINA,151893700,171.82
2017-01-11,AMANI,224553200,246.13
2017-01-11,MIRAFLORES,273486900,313.1
2017-01-11,PENOL,3537703100,4078.46
2017-01-11,PLAYAS,101751600,96.35
2017-01-11,PORCE II,96896100,130.14
2017-01-11,PORCE III,89291600,117.29
2017-01-11,PUNCHINA,28546200,65.12
2017-01-11,RIOGRANDE2,450852000,560.59
2017-01-11,SAN LORENZO,402625500,422.91
2017-01-11,TRONERAS,52425400,71
2017-01-11,URRA1,149056900,158.45
2017-01-11,AGREGADO BOGOTA,1545470000,3763.5
2017-01-11,BETANIA,101987000,124.66
2017-01-11,EL QUIMBO,662736500,1113.81
2017-01-11,MUNA,41294300,57.6
2017-01-11,PRADO,57308100,57.2
2017-01-11,TOPOCORO,964632700,1003.3
2017-01-11,CHUZA,851371400,980.6
2017-01-11,ESMERALDA,876650000,1112.97
2017-01-11,GUAVIO,1497320800,2091.46
2017-01-11,ALTOANCHICAYA,17793600,36.88
2017-01-11,CALIMA1,138818800,217.04
2017-01-11,SALVAJINA,155170200,171.82
2017-01-12,AMANI,227867500,246.13
2017-01-12,MIRAFLORES,274333700,313.1
2017-01-12,PENOL,3527749400,4078.46
2017-01-12,PLAYAS,100445300,96.35
2017-01-12,PORCE II,108779700,130.14
2017-01-12,PORCE III,79301700,117.29
2017-01-12,PUNCHINA,34719600,65.12
2017-01-12,RIOGRANDE2,447171200,560.59
2017-01-12,SAN LORENZO,408928900,422.91
2017-01-12,TRONERAS,48980600,71
2017-01-12,URRA1,147667600,158.45
2017-01-12,AGREGADO BOGOTA,1545460700,3763.5
2017-01-12,BETANIA,100865500,124.66
2017-01-12,EL QUIMBO,662736500,1113.81
2017-01-12,MUNA,44839100,57.6
2017-01-12,PRADO,57308100,57.2
2017-01-12,TOPOCORO,960929000,1003.3
2017-01-12,CHUZA,848894600,980.6
2017-01-12,ESMERALDA,870839700,1112.97
2017-01-12,GUAVIO,1486500000,2091.46
2017-01-12,ALTOANCHICAYA,14464300,36.88
2017-01-12,CALIMA1,139274700,217.04
2017-01-12,SALVAJINA,156762000,171.82
2017-01-13,AMANI,231660100,246.13
2017-01-13,MIRAFLORES,274966400,313.1
2017-01-13,PENOL,3526948100,4078.46
2017-01-13,PLAYAS,102511900,96.35
2017-01-13,PORCE II,96144300,130.14
2017-01-13,PORCE III,96575800,117.29
2017-01-13,PUNCHINA,21993600,65.12
