Fecha,Recurso,Precio de Oferta Declarado $/kWh,Capacidad Efectiva Neta (MW),Volumen Util
2017-01-05,PAGUA,300.0,600,0.510640356540392
2017-01-05,PLAYAS,57.20503000000001,207,1.1078422418266736
2017-01-05,PORCE II,160.0,405,0.7254210849854005
2017-01-05,PORCE III,57.205009999999994,700,0.5827606786597322
2017-01-05,PRADO,105.0,51,1.0018898601398603
2017-01-05,SALVAJINA,294.0,315,0.8382167384472122
2017-01-05,SAN CARLOS,120.0,1240,0.5140632678132677
2017-01-05,SOGAMOSO,61.000009999999996,819,0.9068091298714244
2017-01-05,URRA,57.07703000000001,338,0.9573846639318397
2017-01-06,ALBAN,57.244,429,0.3360276572668112
2017-01-06,BETANIA,57.07702,540,0.7173383603401252
2017-01-06,CALIMA,294.5,132,0.6245166789531883
2017-01-06,CHIVOR,57.246030000000005,1000,0.8139079220464163
2017-01-06,EL QUIMBO,57.077,400,0.6019080453578258
2017-01-06,GUATAPE,57.246019999999994,560,0.8806205528557347
2017-01-06,GUATRON,60.0,512,0.8341494402499349
2017-01-06,GUAVIO,82.1,1250,0.7287333250456619
2017-01-06,JAGUAS,95.0,170,0.930333404270412
2017-01-06,LA TASAJERA,57.246,306,0.7629053318824809
2017-01-06,MIEL I,57.205,396,0.9295295169219518
2017-01-06,PAGUA,300.0,600,0.5100238665472645
2017-01-06,PLAYAS,57.24601,207,1.1064867669953296
2017-01-06,PORCE II,150.0,405,0.7728684493622254
2017-01-06,PORCE III,160.0,700,0.6508483246653592
2017-01-06,PRADO,100.0,51,1.0018898601398603
2017-01-06,SALVAJINA,294.0,315,0.8481812361773949
2017-01-06,SAN CARLOS,99.99,1240,0.5834735872235872
2017-01-06,SOGAMOSO,369.0,819,0.9133469550483405
2017-01-06,URRA,57.077009999999994,338,0.9557399810665826
2017-01-07,ALBAN,85.0,429,0.22267895878524946
2017-01-07,BETANIA,57.118,540,0.7118819188191883
2017-01-07,CALIMA,294.5,132,0.6265927939550313
2017-01-07,CHIVOR,57.246030000000005,1000,0.8058961157982695
2017-01-07,EL QUIMBO,57.11801,400,0.5986966358714683
2017-01-07,GUATAPE,57.246,560,0.8788871534844034
2017-01-07,GUATRON,60.0,512,0.8157386097370476
2017-01-07,GUAVIO,141.3,1250,0.7314233119447658
2017-01-07,JAGUAS,95.0,170,0.924034901042775
2017-01-07,LA TASAJERA,170.0,306,0.7703392853957437
2017-01-07,MIEL I,57.246019999999994,396,0.9123357575265104
2017-01-07,PAGUA,109.5,600,0.5077200158277276
2017-01-07,PLAYAS,57.24601,207,1.0780166061235081
2017-01-07,PORCE II,75.0,405,0.6518518518518519
2017-01-07,PORCE III,140.0,700,0.7887799471395686
2017-01-07,PRADO,94.99,51,0.9981818181818181
2017-01-07,SALVAJINA,294.0,315,0.851619136305436
2017-01-07,SAN CARLOS,82.0,1240,0.4649155405405405
2017-01-07,SOGAMOSO,369.0,819,0.9211093391807037
2017-01-07,URRA,57.077,338,0.9535007888923952
2017-01-08,ALBAN,155.0,429,0.44636388286334056
2017-01-08,BETANIA,146.1,540,0.7494111984598106
