Fecha,Recurso,Precio de Oferta Declarado $/kWh,Capacidad Efectiva Neta (MW)
2017-01-09,CALIMA,294.5,132
2017-01-09,CHIVOR,57.246,1000
2017-01-09,EL QUIMBO,57.118,400
2017-01-09,GUATAPE,57.24602,560
2017-01-09,GUATRON,160,512
2017-01-09,GUAVIO,115.1,1250
2017-01-09,JAGUAS,99.5,170
2017-01-09,LA TASAJERA,170,306
2017-01-09,MIEL I,105.5,396
2017-01-09,PAGUA,300,600
2017-01-09,PLAYAS,57.24601,207
2017-01-09,PORCE II,150,405
2017-01-09,PORCE III,57.24603,700
2017-01-09,PRADO,144,51
2017-01-09,SALVAJINA,294,315
2017-01-09,SAN CARLOS,88.5,1240
2017-01-09,SOGAMOSO,369,819
2017-01-09,URRA,57.077,338
2017-01-10,ALBAN,137.999,429
2017-01-10,BETANIA,57.11801,540
2017-01-10,CALIMA,294.5,132
2017-01-10,CHIVOR,57.24601,1000
2017-01-10,EL QUIMBO,57.118,400
2017-01-10,GUATAPE,57.24603,560
2017-01-10,GUATRON,80,512
2017-01-10,GUAVIO,117.5,1250
2017-01-10,JAGUAS,155.5,170
2017-01-10,LA TASAJERA,57.24604,306
2017-01-10,MIEL I,161.5,396
2017-01-10,PAGUA,300,600
2017-01-10,PLAYAS,57.246,207
2017-01-10,PORCE II,150,405
2017-01-10,PORCE III,171,700
2017-01-10,PRADO,136.999,51
2017-01-10,SALVAJINA,294,315
2017-01-10,SAN CARLOS,57.24602,1240
2017-01-10,SOGAMOSO,88.5,819
2017-01-10,URRA,57.077,338
2017-01-11,ALBAN,57.24601,429
2017-01-11,BETANIA,300,540
2017-01-11,CALIMA,250,132
2017-01-11,CHIVOR,57.24605,1000
2017-01-11,EL QUIMBO,57.24606,400
2017-01-11,GUATAPE,57.24607,560
2017-01-11,GUATRON,120,512
2017-01-11,GUAVIO,111.95,1250
2017-01-11,JAGUAS,155.5,170
2017-01-11,LA TASAJERA,57.246,306
2017-01-11,MIEL I,161.5,396
2017-01-11,PAGUA,57.24602,600
2017-01-11,PLAYAS,57.24604,207
2017-01-11,PORCE II,57.24603,405
2017-01-11,PORCE III,171,700
2017-01-11,PRADO,134.99,51
2017-01-11,SALVAJINA,294,315
2017-01-11,SAN CARLOS,89.5,1240
2017-01-11,SOGAMOSO,88.5,819
2017-01-11,URRA,57.077,338
2017-01-12,ALBAN,57.24606,429
2017-01-12,BETANIA,57.24607,540
2017-01-12,CALIMA,240,132
2017-01-12,CHIVOR,57.24602,1000
2017-01-12,EL QUIMBO,57.24601,400
2017-01-12,GUATAPE,57.24603,560
2017-01-12,GUATRON,105,512
2017-01-12,GUAVIO,138,1250
2017-01-12,JAGUAS,155.5,170
2017-01-12,LA TASAJERA,57.24604,306
2017-01-12,MIEL I,161.5,396
2017-01-12,PAGUA,57.246,600
2017-01-12,PLAYAS,57.24605,207
2017-01-12,PORCE II,171,405
2017-01-12,PORCE III,57.24608,700
2017-01-12,PRADO,80,51
2017-01-12,SALVAJINA,294,315
2017-01-12,SAN CARLOS,110.5,1240
2017-01-12,SOGAMOSO,88.5,819
2017-01-12,URRA,57.077,338
2017-01-13,ALBAN,57.24602,429
2017-01-13,BETANIA,57.24604,540
2017-01-13,CALIMA,230,132
2017-01-13,CHIVOR,57.246,1000
2017-01-13,EL QUIMBO,57.24601,400
2017-01-13,GUATAPE,57.24606,560
2017-01-13,GUATRON,85,512
2017-01-13,GUAVIO,149,1250
2017-01-13,JAGUAS,155.5,170
2017-01-13,LA TASAJERA,57.24609,306
2017-01-13,MIEL I,161.5,396
2017-01-13,PAGUA,57.24607,600
2017-01-13,PLAYAS,57.24603,207
2017-01-13,PORCE II,57.24608,405
2017-01-13,PORCE III,171,700
2017-01-13,PRADO,70,51
2017-01-13,SALVAJINA,294,315
2017-01-13,SAN CARLOS,57.24605,1240
2017-01-13,SOGAMOSO,88.5,819
2017-01-13,URRA,57.077,338
2017-01-14,ALBAN,57.24607,429
2017-01-14,BETANIA,57.24606,540
2017-01-14,CALIMA,230,132
2017-01-14,CHIVOR,57.24605,1000
2017-01-14,EL QUIMBO,57.24601,400
2017-01-14,GUATAPE,57.24604,560
2017-01-14,GUATRON,85,512
2017-01-14,GUAVIO,180,1250
2017-01-14,JAGUAS,57.24603,170
2017-01-14,LA TASAJERA,57.24609,306
2017-01-14,MIEL I,57.247,396
2017-01-14,PAGUA,57.246,600
2017-01-14,PLAYAS,57.24602,207
2017-01-14,PORCE II,171,405
2017-01-14,PORCE III,57.24608,700
2017-01-14,PRADO,57.24611,51
2017-01-14,SALVAJINA,294,315
2017-01-14,SAN CARLOS,65,1240
2017-01-14,SOGAMOSO,57.2461,819
2017-01-14,URRA,57.077,338
2017-01-15,ALBAN,175,429
2017-01-15,BETANIA,57.24611,540
2017-01-15,CALIMA,230,132
2017-01-15,CHIVOR,57.24603,1000
2017-01-15,EL QUIMBO,57.24602,400
2017-01-15,GUATAPE,57.24606,560
2017-01-15,GUATRON,85,512
2017-01-15,GUAVIO,180,1250
2017-01-15,JAGUAS,57.24607,170
2017-01-15,LA TASAJERA,57.24609,306
2017-01-15,MIEL I,57.24605,396
2017-01-15,PAGUA,57.246,600
2017-01-15,PLAYAS,57.2461,207
2017-01-15,PORCE II,57.24608,405
2017-01-15,PORCE III,140,700
2017-01-15,PRADO,57.24604,51
2017-01-15,SALVAJINA,294,315
2017-01-15,SAN CARLOS,90,1240
2017-01-15,SOGAMOSO,57.24601,819
2017-01-15,URRA,57.077,338
2017-01-16,ALBAN,145,429
2017-01-16,BETANIA,57.24609,540
2017-01-16,CALIMA,220,132
2017-01-16,CHIVOR,57.24604,1000
2017-01-16,EL QUIMBO,57.24602,400
2017-01-16,GUATAPE,57.24607,560
2017-01-16,GUATRON,57.24603,512
2017-01-16,GUAVIO,100,1250
2017-01-16,JAGUAS,155,170
2017-01-16,LA TASAJERA,95,306
2017-01-16,MIEL I,57.24606,396
2017-01-16,PAGUA,57.246,600
2017-01-16,PLAYAS,57.24608,207
2017-01-16,PORCE II,140,405
2017-01-16,PORCE III,57.2461,700
2017-01-16,PRADO,57.24605,51
2017-01-16,SALVAJINA,294,315
2017-01-16,SAN CARLOS,75,1240
2017-01-16,SOGAMOSO,57.24601,819
