Fecha,Recurso,Precio de Oferta Declarado $/kWh,Capacidad Efectiva Neta (MW)
2017-03-25,CHIVOR,55.92501,1000
2017-03-25,EL QUIMBO,55.92503,400
2017-03-25,GUATAPE,143,560
2017-03-25,GUATRON,70,512
2017-03-25,GUAVIO,100,1250
2017-03-25,JAGUAS,55.9251,170
2017-03-25,LA TASAJERA,55.92502,306
2017-03-25,MIEL I,55.92507,396
2017-03-25,PAGUA,55.92504,600
2017-03-25,PLAYAS,55.92511,207
2017-03-25,PORCE II,55.92508,405
2017-03-25,PORCE III,95,700
2017-03-25,PRADO,55.92506,51
2017-03-25,SALVAJINA,280,315
2017-03-25,SAN CARLOS,70.5,1240
2017-03-25,SOGAMOSO,138,819
2017-03-25,URRA,55.92509,338
2017-03-26,ALBAN,55.92501,429
2017-03-26,BETANIA,55.92502,540
2017-03-26,CALIMA,160,132
2017-03-26,CHIVOR,55.92509,1000
2017-03-26,EL QUIMBO,250,400
2017-03-26,GUATAPE,143,560
2017-03-26,GUATRON,95,512
2017-03-26,GUAVIO,68,1250
2017-03-26,JAGUAS,55.92507,170
2017-03-26,LA TASAJERA,55.92504,306
2017-03-26,MIEL I,55.92503,396
2017-03-26,PAGUA,55.9251,600
2017-03-26,PLAYAS,55.92508,207
2017-03-26,PORCE II,70,405
2017-03-26,PORCE III,55.92505,700
2017-03-26,PRADO,55.925,51
2017-03-26,SALVAJINA,280,315
2017-03-26,SAN CARLOS,92,1240
2017-03-26,SOGAMOSO,68.00001,819
2017-03-26,URRA,55.92506,338
2017-03-27,ALBAN,55.92502,429
2017-03-27,BETANIA,55.92507,540
2017-03-27,CALIMA,160,132
2017-03-27,CHIVOR,55.92511,1000
2017-03-27,EL QUIMBO,55.92512,400
2017-03-27,GUATAPE,143,560
2017-03-27,GUATRON,55.92513,512
2017-03-27,GUAVIO,68,1250
2017-03-27,JAGUAS,55.92509,170
2017-03-27,LA TASAJERA,55.92504,306
2017-03-27,MIEL I,55.925,396
2017-03-27,PAGUA,55.92508,600
2017-03-27,PLAYAS,55.92506,207
2017-03-27,PORCE II,55.92505,405
2017-03-27,PORCE III,65,700
2017-03-27,PRADO,55.9251,51
2017-03-27,SALVAJINA,280,315
2017-03-27,SAN CARLOS,55.92503,1240
2017-03-27,SOGAMOSO,92,819
2017-03-27,URRA,55.92501,338
2017-03-28,ALBAN,55.92501,429
2017-03-28,BETANIA,55.92504,540
2017-03-28,CALIMA,140,132
2017-03-28,CHIVOR,55.92514,1000
2017-03-28,EL QUIMBO,200,400
2017-03-28,GUATAPE,143,560
2017-03-28,GUATRON,55.92512,512
2017-03-28,GUAVIO,55.925,1250
2017-03-28,JAGUAS,55.92508,170
2017-03-28,LA TASAJERA,55.92505,306
2017-03-28,MIEL I,55.92509,396
2017-03-28,PAGUA,55.92502,600
2017-03-28,PLAYAS,55.9251,207
2017-03-28,PORCE II,55.92511,405
2017-03-28,PORCE III,55.92503,700
2017-03-28,PRADO,55.92506,51
2017-03-28,SALVAJINA,280,315
2017-03-28,SAN CARLOS,55.92513,1240
2017-03-28,SOGAMOSO,92,819
2017-03-28,URRA,55.92507,338
2017-03-29,ALBAN,55.92513,429
2017-03-29,BETANIA,55.92505,540
2017-03-29,CALIMA,140,132
2017-03-29,CHIVOR,55.92507,1000
2017-03-29,EL QUIMBO,200,400
2017-03-29,GUATAPE,143,560
2017-03-29,GUATRON,55.92512,512
2017-03-29,GUAVIO,55.92508,1250
2017-03-29,JAGUAS,55.925,170
2017-03-29,LA TASAJERA,61,306
2017-03-29,MIEL I,55.92502,396
2017-03-29,PAGUA,55.92511,600
2017-03-29,PLAYAS,55.92504,207
2017-03-29,PORCE II,55.92501,405
2017-03-29,PORCE III,55.92509,700
2017-03-29,PRADO,55.92503,51
2017-03-29,SALVAJINA,280,315
2017-03-29,SAN CARLOS,55.9251,1240
2017-03-29,SOGAMOSO,92,819
2017-03-29,URRA,55.92506,338
2017-03-30,ALBAN,55.935,429
2017-03-30,BETANIA,55.92503,540
2017-03-30,CALIMA,140,132
2017-03-30,CHIVOR,55.925,1000
2017-03-30,EL QUIMBO,200,400
2017-03-30,GUATAPE,143,560
2017-03-30,GUATRON,55.92505,512
2017-03-30,GUAVIO,55.92508,1250
2017-03-30,JAGUAS,55.92506,170
2017-03-30,LA TASAJERA,55.92502,306
2017-03-30,MIEL I,55.92511,396
2017-03-30,PAGUA,55.9251,600
2017-03-30,PLAYAS,55.92501,207
2017-03-30,PORCE II,91,405
2017-03-30,PORCE III,55.92507,700
2017-03-30,PRADO,55.92504,51
2017-03-30,SALVAJINA,280,315
2017-03-30,SAN CARLOS,55.92509,1240
2017-03-30,SOGAMOSO,92,819
2017-03-30,URRA,55.92512,338
2017-03-31,ALBAN,55.92504,429
2017-03-31,BETANIA,55.92502,540
2017-03-31,CALIMA,140,132
2017-03-31,CHIVOR,55.92507,1000
2017-03-31,EL QUIMBO,300,400
2017-03-31,GUATAPE,143,560
2017-03-31,GUATRON,55.9251,512
2017-03-31,GUAVIO,60.1,1250
2017-03-31,JAGUAS,55.92509,170
2017-03-31,LA TASAJERA,55.92506,306
2017-03-31,MIEL I,55.92508,396
2017-03-31,PAGUA,55.92503,600
2017-03-31,PLAYAS,55.925,207
2017-03-31,PORCE II,55.92511,405
2017-03-31,PORCE III,89,700
2017-03-31,PRADO,55.92505,51
2017-03-31,SALVAJINA,280,315
2017-03-31,SAN CARLOS,55.92501,1240
2017-03-31,SOGAMOSO,89.00001,819
2017-03-31,URRA,55.92512,338
2017-04-01,ALBAN,55.925,429
2017-04-01,BETANIA,57.61804,540
2017-04-01,CALIMA,140,132
2017-04-01,CHIVOR,57.61807,1000
2017-04-01,EL QUIMBO,57.61806,400
2017-04-01,GUATAPE,143,560
2017-04-01,GUATRON,83,512
2017-04-01,GUAVIO,200,1250
2017-04-01,JAGUAS,57.619,170
2017-04-01,LA TASAJERA,57.618,306
2017-04-01,MIEL I,57.6181,396
2017-04-01,PAGUA,57.61808,600
2017-04-01,PLAYAS,57.61801,207
2017-04-01,PORCE II,57.61802,405
2017-04-01,PORCE III,57.61811,700
2017-04-01,PRADO,55.92501,51
2017-04-01,SALVAJINA,280,315
2017-04-01,SAN CARLOS,57.61805,1240
2017-04-01,SOGAMOSO,57.61803,819
2017-04-01,URRA,57.61809,338
2017-04-02,ALBAN,57.61808,429
2017-04-02,BETANIA,57.61806,540
2017-04-02,CALIMA,140,132
2017-04-02,CHIVOR,124.318,1000
2017-04-02,EL QUIMBO,300.00001,400
2017-04-02,GUATAPE,143,560
2017-04-02,GUATRON,57.61805,512
2017-04-02,GUAVIO,300,1250
2017-04-02,JAGUAS,57.619,170
2017-04-02,LA TASAJERA,91,306
2017-04-02,MIEL I,57.61811,396
2017-04-02,PAGUA,57.61809,600
2017-04-02,PLAYAS,57.61801,207
2017-04-02,PORCE II,57.61803,405
2017-04-02,PORCE III,57.61807,700
2017-04-02,PRADO,57.61802,51
2017-04-02,SALVAJINA,280,315
2017-04-02,SAN CARLOS,57.618,1240
2017-04-02,SOGAMOSO,57.6181,819
2017-04-02,URRA,57.61804,338
2017-04-03,ALBAN,57.61802,429
2017-04-03,BETANIA,57.61806,540
2017-04-03,CALIMA,164,132
2017-04-03,CHIVOR,126.318,1000
2017-04-03,EL QUIMBO,300,400
2017-04-03,GUATAPE,143,560
2017-04-03,GUATRON,57.61803,512
2017-04-03,GUAVIO,250,1250
2017-04-03,JAGUAS,57.61801,170
2017-04-03,LA TASAJERA,91,306
2017-04-03,MIEL I,57.61807,396
2017-04-03,PAGUA,57.6181,600
2017-04-03,PLAYAS,73,207
2017-04-03,PORCE II,57.61808,405
2017-04-03,PORCE III,57.618,700
2017-04-03,PRADO,57.61805,51
2017-04-03,SALVAJINA,280,315
2017-04-03,SAN CARLOS,57.61809,1240
2017-04-03,SOGAMOSO,57.61804,819
2017-04-03,URRA,57.61811,338
2017-04-04,ALBAN,57.61804,429
2017-04-04,BETANIA,57.615,540
2017-04-04,CALIMA,161,132
2017-04-04,CHIVOR,129.718,1000
2017-04-04,EL QUIMBO,300,400
2017-04-04,GUATAPE,57.61808,560
2017-04-04,GUATRON,103,512
2017-04-04,GUAVIO,57.61805,1250
2017-04-04,JAGUAS,57.618,170
2017-04-04,LA TASAJERA,57.61802,306
2017-04-04,MIEL I,57.61807,396
2017-04-04,PAGUA,57.6181,600
2017-04-04,PLAYAS,107,207
2017-04-04,PORCE II,151,405
2017-04-04,PORCE III,97,700
2017-04-04,PRADO,57.61801,51
2017-04-04,SALVAJINA,280,315
2017-04-04,SAN CARLOS,57.61806,1240
2017-04-04,SOGAMOSO,57.61809,819
2017-04-04,URRA,57.61803,338
2017-04-05,ALBAN,57.61804,429
2017-04-05,BETANIA,57.61801,540
2017-04-05,CALIMA,150,132
2017-04-05,CHIVOR,57.61809,1000
2017-04-05,EL QUIMBO,57.61805,400
2017-04-05,GUATAPE,57.61812,560
2017-04-05,GUATRON,103,512
2017-04-05,GUAVIO,98.5,1250
2017-04-05,JAGUAS,57.61802,170
2017-04-05,LA TASAJERA,57.61803,306
2017-04-05,MIEL I,57.61808,396
2017-04-05,PAGUA,57.61806,600
2017-04-05,PLAYAS,57.61807,207
2017-04-05,PORCE II,151,405
2017-04-05,PORCE III,97,700
2017-04-05,PRADO,57.618,51
2017-04-05,SALVAJINA,280,315
2017-04-05,SAN CARLOS,96,1240
2017-04-05,SOGAMOSO,57.61811,819
2017-04-05,URRA,57.6181,338
2017-04-06,ALBAN,57.61804,429
2017-04-06,BETANIA,57.61805,540
2017-04-06,CALIMA,200,132
2017-04-06,CHIVOR,57.61808,1000
2017-04-06,EL QUIMBO,57.61806,400
2017-04-06,GUATAPE,57.61811,560
2017-04-06,GUATRON,79,512
2017-04-06,GUAVIO,102.45,1250
2017-04-06,JAGUAS,57.61809,170
2017-04-06,LA TASAJERA,57.61812,306
2017-04-06,MIEL I,57.61802,396
2017-04-06,PAGUA,57.61813,600
2017-04-06,PLAYAS,57.61801,207
2017-04-06,PORCE II,57.61807,405
2017-04-06,PORCE III,160,700
2017-04-06,PRADO,57.6181,51
2017-04-06,SALVAJINA,280,315
2017-04-06,SAN CARLOS,89,1240
2017-04-06,SOGAMOSO,57.618,819
2017-04-06,URRA,57.61803,338
2017-04-07,ALBAN,57.618,429
2017-04-07,BETANIA,57.61801,540
2017-04-07,CALIMA,200,132
2017-04-07,CHIVOR,110,1000
2017-04-07,EL QUIMBO,57.6181,400
2017-04-07,GUATAPE,57.61808,560
2017-04-07,GUATRON,160,512
2017-04-07,GUAVIO,94.5,1250
2017-04-07,JAGUAS,89,170
2017-04-07,LA TASAJERA,57.61805,306
2017-04-07,MIEL I,57.61809,396
2017-04-07,PAGUA,57.61804,600
2017-04-07,PLAYAS,57.61802,207
2017-04-07,PORCE II,180,405
2017-04-07,PORCE III,57.61807,700
2017-04-07,PRADO,105,51
2017-04-07,SALVAJINA,280,315
2017-04-07,SAN CARLOS,78,1240
2017-04-07,SOGAMOSO,57.61806,819
2017-04-07,URRA,57.61803,338
2017-04-08,ALBAN,150,429
2017-04-08,BETANIA,57.61808,540
2017-04-08,CALIMA,200,132
2017-04-08,CHIVOR,140,1000
2017-04-08,EL QUIMBO,57.618,400
2017-04-08,GUATAPE,57.61807,560
2017-04-08,GUATRON,75,512
2017-04-08,GUAVIO,300,1250
2017-04-08,JAGUAS,109,170
2017-04-08,LA TASAJERA,57.61806,306
2017-04-08,MIEL I,57.61802,396
2017-04-08,PAGUA,57.61803,600
2017-04-08,PLAYAS,57.61801,207
2017-04-08,PORCE II,90,405
2017-04-08,PORCE III,160,700
2017-04-08,PRADO,115,51
2017-04-08,SALVAJINA,280,315
2017-04-08,SAN CARLOS,94,1240
2017-04-08,SOGAMOSO,57.61805,819
2017-04-08,URRA,57.61804,338
2017-04-09,ALBAN,150,429
2017-04-09,BETANIA,57.61809,540
2017-04-09,CALIMA,200,132
2017-04-09,CHIVOR,143,1000
2017-04-09,EL QUIMBO,57.61802,400
2017-04-09,GUATAPE,57.61803,560
2017-04-09,GUATRON,170,512
2017-04-09,GUAVIO,146.32,1250
2017-04-09,JAGUAS,57.618,170
2017-04-09,LA TASAJERA,57.61804,306
2017-04-09,MIEL I,57.61807,396
2017-04-09,PAGUA,57.61806,600
2017-04-09,PLAYAS,57.61801,207
2017-04-09,PORCE II,160,405
2017-04-09,PORCE III,105,700
2017-04-09,PRADO,118,51
2017-04-09,SALVAJINA,280,315
2017-04-09,SAN CARLOS,158,1240
2017-04-09,SOGAMOSO,57.61808,819
2017-04-09,URRA,57.61805,338
2017-04-10,ALBAN,100,429
2017-04-10,BETANIA,57.618,540
2017-04-10,CALIMA,200,132
2017-04-10,CHIVOR,155,1000
2017-04-10,EL QUIMBO,57.61802,400
2017-04-10,GUATAPE,57.61805,560
2017-04-10,GUATRON,69,512
2017-04-10,GUAVIO,105.5,1250
2017-04-10,JAGUAS,158,170
2017-04-10,LA TASAJERA,57.61804,306
2017-04-10,MIEL I,57.61803,396
2017-04-10,PAGUA,57.61806,600
2017-04-10,PLAYAS,57.61807,207
2017-04-10,PORCE II,160,405
2017-04-10,PORCE III,105,700
2017-04-10,PRADO,120,51
2017-04-10,SALVAJINA,280,315
2017-04-10,SAN CARLOS,106,1240
2017-04-10,SOGAMOSO,57.61801,819
2017-04-10,URRA,350,338
2017-04-11,ALBAN,95,429
2017-04-11,BETANIA,57.61808,540
2017-04-11,CALIMA,200,132
2017-04-11,CHIVOR,57.61803,1000
2017-04-11,EL QUIMBO,57.61806,400
2017-04-11,GUATAPE,57.61805,560
2017-04-11,GUATRON,85.00001,512
2017-04-11,GUAVIO,93.1,1250
2017-04-11,JAGUAS,158,170
2017-04-11,LA TASAJERA,57.61804,306
2017-04-11,MIEL I,57.61801,396
2017-04-11,PAGUA,57.61802,600
2017-04-11,PLAYAS,57.618,207
2017-04-11,PORCE II,97,405
2017-04-11,PORCE III,160,700
2017-04-11,PRADO,85,51
2017-04-11,SALVAJINA,280,315
2017-04-11,SAN CARLOS,57.61807,1240
2017-04-11,SOGAMOSO,75,819
2017-04-11,URRA,350,338
2017-04-12,ALBAN,57.61801,429
2017-04-12,BETANIA,57.61803,540
2017-04-12,CALIMA,200,132
2017-04-12,CHIVOR,90.5,1000
2017-04-12,EL QUIMBO,57.61802,400
2017-04-12,GUATAPE,57.61808,560
2017-04-12,GUATRON,170,512
2017-04-12,GUAVIO,97.5,1250
2017-04-12,JAGUAS,158,170
2017-04-12,LA TASAJERA,57.61806,306
2017-04-12,MIEL I,57.61807,396
2017-04-12,PAGUA,57.61804,600
2017-04-12,PLAYAS,57.618,207
2017-04-12,PORCE II,57.61805,405
2017-04-12,PORCE III,92,700
2017-04-12,PRADO,59,51
2017-04-12,SALVAJINA,280,315
2017-04-12,SAN CARLOS,57.61809,1240
2017-04-12,SOGAMOSO,68.5,819
2017-04-12,URRA,350,338
2017-04-13,ALBAN,57.618,429
2017-04-13,BETANIA,57.61806,540
2017-04-13,CALIMA,200,132
2017-04-13,CHIVOR,101.999,1000
2017-04-13,EL QUIMBO,57.61801,400
2017-04-13,GUATAPE,140,560
2017-04-13,GUATRON,96,512
2017-04-13,GUAVIO,64.9,1250
2017-04-13,JAGUAS,57.61811,170
2017-04-13,LA TASAJERA,57.61803,306
2017-04-13,MIEL I,57.61807,396
2017-04-13,PAGUA,57.61804,600
2017-04-13,PLAYAS,57.61812,207
2017-04-13,PORCE II,57.61809,405
2017-04-13,PORCE III,57.6181,700
2017-04-13,PRADO,57.61805,51
2017-04-13,SALVAJINA,280,315
2017-04-13,SAN CARLOS,57.61802,1240
2017-04-13,SOGAMOSO,68.5,819
2017-04-13,URRA,57.61808,338
2017-04-14,ALBAN,61.999,429
2017-04-14,BETANIA,57.61807,540
2017-04-14,CALIMA,200,132
2017-04-14,CHIVOR,102.999,1000
2017-04-14,EL QUIMBO,57.61809,400
2017-04-14,GUATAPE,140,560
2017-04-14,GUATRON,57.61808,512
2017-04-14,GUAVIO,100.1,1250
2017-04-14,JAGUAS,57.61804,170
2017-04-14,LA TASAJERA,121,306
2017-04-14,MIEL I,57.61802,396
2017-04-14,PAGUA,57.618,600
2017-04-14,PLAYAS,57.61803,207
2017-04-14,PORCE II,59,405
2017-04-14,PORCE III,60,700
2017-04-14,PRADO,57.61805,51
2017-04-14,SALVAJINA,280,315
2017-04-14,SAN CARLOS,57.61801,1240
2017-04-14,SOGAMOSO,120,819
2017-04-14,URRA,57.61806,338
2017-04-15,ALBAN,57.61802,429
2017-04-15,BETANIA,59.5,540
2017-04-15,CALIMA,200,132
2017-04-15,CHIVOR,105.999,1000
2017-04-15,EL QUIMBO,57.61804,400
2017-04-15,GUATAPE,57.61805,560
2017-04-15,GUATRON,140,512
2017-04-15,GUAVIO,63.2,1250
2017-04-15,JAGUAS,57.618,170
2017-04-15,LA TASAJERA,57.61803,306
2017-04-15,MIEL I,120,396
2017-04-15,PAGUA,57.61808,600
2017-04-15,PLAYAS,57.61807,207
2017-04-15,PORCE II,125,405
2017-04-15,PORCE III,90,700
2017-04-15,PRADO,57.61806,51
2017-04-15,SALVAJINA,280,315
2017-04-15,SAN CARLOS,57.61801,1240
2017-04-15,SOGAMOSO,59.48,819
2017-04-15,URRA,350,338
2017-04-16,ALBAN,57.61802,429
2017-04-16,BETANIA,58.8,540
2017-04-16,CALIMA,200,132
2017-04-16,CHIVOR,89.998,1000
2017-04-16,EL QUIMBO,57.61806,400
2017-04-16,GUATAPE,125,560
2017-04-16,GUATRON,57.618,512
2017-04-16,GUAVIO,108.2,1250
2017-04-16,JAGUAS,57.6181,170
2017-04-16,LA TASAJERA,140,306
2017-04-16,MIEL I,120,396
2017-04-16,PAGUA,57.61805,600
2017-04-16,PLAYAS,57.61803,207
2017-04-16,PORCE II,57.61811,405
2017-04-16,PORCE III,57.61804,700
2017-04-16,PRADO,57.61807,51
2017-04-16,SALVAJINA,280,315
2017-04-16,SAN CARLOS,57.61801,1240
2017-04-16,SOGAMOSO,57.61809,819
2017-04-16,URRA,57.61808,338
2017-04-17,ALBAN,58.618,429
2017-04-17,BETANIA,57.61806,540
2017-04-17,CALIMA,200,132
2017-04-17,CHIVOR,108.999,1000
2017-04-17,EL QUIMBO,57.61805,400
2017-04-17,GUATAPE,57.61802,560
2017-04-17,GUATRON,125,512
2017-04-17,GUAVIO,59.3,1250
2017-04-17,JAGUAS,57.61804,170
2017-04-17,LA TASAJERA,140,306
2017-04-17,MIEL I,120,396
2017-04-17,PAGUA,74.5,600
2017-04-17,PLAYAS,57.61808,207
2017-04-17,PORCE II,57.618,405
2017-04-17,PORCE III,57.61809,700
2017-04-17,PRADO,57.61807,51
2017-04-17,SALVAJINA,280,315
2017-04-17,SAN CARLOS,57.61801,1240
2017-04-17,SOGAMOSO,57.61803,819
2017-04-17,URRA,350,338
2017-04-18,ALBAN,57.61808,429
2017-04-18,BETANIA,57.61801,540
2017-04-18,CALIMA,200,132
2017-04-18,CHIVOR,108.999,1000
2017-04-18,EL QUIMBO,57.618,400
2017-04-18,GUATAPE,57.61807,560
2017-04-18,GUATRON,57.61802,512
2017-04-18,GUAVIO,110.05,1250
2017-04-18,JAGUAS,57.61812,170
2017-04-18,LA TASAJERA,140,306
2017-04-18,MIEL I,120,396
2017-04-18,PAGUA,57.6181,600
2017-04-18,PLAYAS,57.61805,207
2017-04-18,PORCE II,57.61809,405
2017-04-18,PORCE III,136,700
2017-04-18,PRADO,57.61806,51
2017-04-18,SALVAJINA,280,315
2017-04-18,SAN CARLOS,57.61811,1240
2017-04-18,SOGAMOSO,57.61803,819
2017-04-18,URRA,57.61804,338
2017-04-19,ALBAN,130,429
2017-04-19,BETANIA,57.61804,540
2017-04-19,CALIMA,200,132
2017-04-19,CHIVOR,108.999,1000
2017-04-19,EL QUIMBO,57.61807,400
2017-04-19,GUATAPE,57.61802,560
2017-04-19,GUATRON,100,512
2017-04-19,GUAVIO,107,1250
2017-04-19,JAGUAS,57.618,170
2017-04-19,LA TASAJERA,140,306
2017-04-19,MIEL I,107.5,396
2017-04-19,PAGUA,57.61808,600
2017-04-19,PLAYAS,57.61803,207
2017-04-19,PORCE II,137,405
2017-04-19,PORCE III,57.61806,700
2017-04-19,PRADO,57.6181,51
2017-04-19,SALVAJINA,280,315
2017-04-19,SAN CARLOS,57.61801,1240
2017-04-19,SOGAMOSO,57.61805,819
2017-04-19,URRA,57.61809,338
2017-04-20,ALBAN,106.00001,429
2017-04-20,BETANIA,57.61802,540
2017-04-20,CALIMA,150,132
2017-04-20,CHIVOR,106,1000
2017-04-20,EL QUIMBO,57.618,400
2017-04-20,GUATAPE,57.61805,560
2017-04-20,GUATRON,108,512
2017-04-20,GUAVIO,107,1250
2017-04-20,JAGUAS,57.61807,170
2017-04-20,LA TASAJERA,140,306
2017-04-20,MIEL I,103.5,396
2017-04-20,PAGUA,57.61808,600
2017-04-20,PLAYAS,57.61806,207
2017-04-20,PORCE II,137,405
2017-04-20,PORCE III,57.6181,700
2017-04-20,PRADO,57.61803,51
2017-04-20,SALVAJINA,280,315
2017-04-20,SAN CARLOS,57.61801,1240
2017-04-20,SOGAMOSO,57.61809,819
2017-04-20,URRA,57.61804,338
2017-04-21,ALBAN,104,429
2017-04-21,BETANIA,57.61802,540
2017-04-21,CALIMA,150,132
2017-04-21,CHIVOR,107.5,1000
2017-04-21,EL QUIMBO,57.61801,400
2017-04-21,GUATAPE,57.6181,560
2017-04-21,GUATRON,57.61811,512
2017-04-21,GUAVIO,105,1250
2017-04-21,JAGUAS,57.61808,170
2017-04-21,LA TASAJERA,145,306
2017-04-21,MIEL I,103.5,396
2017-04-21,PAGUA,57.61807,600
2017-04-21,PLAYAS,57.61805,207
2017-04-21,PORCE II,57.61803,405
2017-04-21,PORCE III,142,700
2017-04-21,PRADO,57.61809,51
2017-04-21,SALVAJINA,280,315
2017-04-21,SAN CARLOS,57.61804,1240
2017-04-21,SOGAMOSO,57.618,819
2017-04-21,URRA,57.61806,338
2017-04-22,ALBAN,101,429
2017-04-22,BETANIA,57.61803,540
2017-04-22,CALIMA,150,132
2017-04-22,CHIVOR,103,1000
2017-04-22,EL QUIMBO,57.61807,400
2017-04-22,GUATAPE,147,560
2017-04-22,GUATRON,57.6181,512
2017-04-22,GUAVIO,104.9,1250
2017-04-22,JAGUAS,57.61801,170
2017-04-22,LA TASAJERA,121,306
2017-04-22,MIEL I,98,396
2017-04-22,PAGUA,57.61806,600
2017-04-22,PLAYAS,57.61805,207
2017-04-22,PORCE II,57.61802,405
2017-04-22,PORCE III,57.61811,700
2017-04-22,PRADO,57.61804,51
2017-04-22,SALVAJINA,280,315
2017-04-22,SAN CARLOS,57.61809,1240
2017-04-22,SOGAMOSO,57.618,819
2017-04-22,URRA,57.61808,338
2017-04-23,ALBAN,97,429
2017-04-23,BETANIA,57.61806,540
2017-04-23,CALIMA,150,132
2017-04-23,CHIVOR,95,1000
2017-04-23,EL QUIMBO,57.61808,400
2017-04-23,GUATAPE,147,560
2017-04-23,GUATRON,57.618,512
2017-04-23,GUAVIO,100,1250
2017-04-23,JAGUAS,57.61801,170
2017-04-23,LA TASAJERA,121,306
2017-04-23,MIEL I,57.61803,396
2017-04-23,PAGUA,57.61804,600
2017-04-23,PLAYAS,57.61807,207
2017-04-23,PORCE II,57.6181,405
2017-04-23,PORCE III,57.61811,700
2017-04-23,PRADO,57.61805,51
2017-04-23,SALVAJINA,280,315
2017-04-23,SAN CARLOS,98,1240
2017-04-23,SOGAMOSO,57.61802,819
2017-04-23,URRA,57.61809,338
2017-04-24,ALBAN,96,429
2017-04-24,BETANIA,57.61806,540
2017-04-24,CALIMA,150,132
2017-04-24,CHIVOR,110,1000
2017-04-24,EL QUIMBO,57.61804,400
2017-04-24,GUATAPE,57.61808,560
2017-04-24,GUATRON,57.61803,512
2017-04-24,GUAVIO,57.61802,1250
2017-04-24,JAGUAS,57.6181,170
2017-04-24,LA TASAJERA,121,306
2017-04-24,MIEL I,57.618,396
2017-04-24,PAGUA,90,600
2017-04-24,PLAYAS,57.61805,207
2017-04-24,PORCE II,130,405
2017-04-24,PORCE III,57.61801,700
2017-04-24,PRADO,57.61811,51
2017-04-24,SALVAJINA,280,315
2017-04-24,SAN CARLOS,80,1240
2017-04-24,SOGAMOSO,57.61809,819
2017-04-24,URRA,57.61807,338
2017-04-25,ALBAN,78,429
2017-04-25,BETANIA,57.61801,540
2017-04-25,CALIMA,150,132
2017-04-25,CHIVOR,85,1000
2017-04-25,EL QUIMBO,57.61802,400
2017-04-25,GUATAPE,57.61808,560
2017-04-25,GUATRON,133,512
2017-04-25,GUAVIO,57.61807,1250
2017-04-25,JAGUAS,57.61809,170
2017-04-25,LA TASAJERA,57.61811,306
2017-04-25,MIEL I,98,396
2017-04-25,PAGUA,90,600
2017-04-25,PLAYAS,57.61803,207
2017-04-25,PORCE II,130,405
2017-04-25,PORCE III,57.6181,700
2017-04-25,PRADO,57.61805,51
2017-04-25,SALVAJINA,280,315
2017-04-25,SAN CARLOS,57.61804,1240
2017-04-25,SOGAMOSO,57.61806,819
2017-04-25,URRA,57.618,338
2017-04-26,ALBAN,89.5,429
2017-04-26,BETANIA,57.61804,540
2017-04-26,CALIMA,150,132
2017-04-26,CHIVOR,57.61801,1000
2017-04-26,EL QUIMBO,57.61807,400
2017-04-26,GUATAPE,57.61808,560
2017-04-26,GUATRON,90,512
2017-04-26,GUAVIO,88.55,1250
2017-04-26,JAGUAS,88,170
2017-04-26,LA TASAJERA,57.61811,306
2017-04-26,MIEL I,57.61802,396
2017-04-26,PAGUA,57.618,600
2017-04-26,PLAYAS,57.61812,207
2017-04-26,PORCE II,57.61809,405
2017-04-26,PORCE III,130,700
2017-04-26,PRADO,57.61803,51
2017-04-26,SALVAJINA,280,315
2017-04-26,SAN CARLOS,57.61806,1240
2017-04-26,SOGAMOSO,57.61805,819
2017-04-26,URRA,57.6181,338
2017-04-27,ALBAN,70,429
2017-04-27,BETANIA,104.2,540
2017-04-27,CALIMA,150,132
2017-04-27,CHIVOR,74.9,1000
2017-04-27,EL QUIMBO,57.61803,400
2017-04-27,GUATAPE,138,560
2017-04-27,GUATRON,80,512
2017-04-27,GUAVIO,57.61809,1250
2017-04-27,JAGUAS,83,170
2017-04-27,LA TASAJERA,57.61804,306
2017-04-27,MIEL I,57.61807,396
2017-04-27,PAGUA,57.61802,600
2017-04-27,PLAYAS,57.61805,207
2017-04-27,PORCE II,122,405
2017-04-27,PORCE III,57.618,700
2017-04-27,PRADO,57.6181,51
2017-04-27,SALVAJINA,280,315
2017-04-27,SAN CARLOS,57.61806,1240
2017-04-27,SOGAMOSO,57.61808,819
2017-04-27,URRA,57.61801,338
2017-04-28,ALBAN,75.999,429
2017-04-28,BETANIA,57.61802,540
2017-04-28,CALIMA,150,132
2017-04-28,CHIVOR,57.61811,1000
2017-04-28,EL QUIMBO,57.61805,400
2017-04-28,GUATAPE,138,560
2017-04-28,GUATRON,57.6181,512
2017-04-28,GUAVIO,79.2,1250
2017-04-28,JAGUAS,57.61804,170
2017-04-28,LA TASAJERA,57.61807,306
2017-04-28,MIEL I,57.61803,396
2017-04-28,PAGUA,57.61808,600
2017-04-28,PLAYAS,57.61812,207
2017-04-28,PORCE II,57.61801,405
2017-04-28,PORCE III,100,700
2017-04-28,PRADO,57.61806,51
2017-04-28,SALVAJINA,280,315
2017-04-28,SAN CARLOS,69,1240
2017-04-28,SOGAMOSO,57.61809,819
2017-04-28,URRA,57.618,338
2017-04-29,ALBAN,104.5,429
2017-04-29,BETANIA,57.61806,540
2017-04-29,CALIMA,150,132
2017-04-29,CHIVOR,57.61804,1000
2017-04-29,EL QUIMBO,57.618,400
2017-04-29,GUATAPE,138,560
2017-04-29,GUATRON,100,512
