Volumen Util,Capacidad Efectiva Neta (MW),Precio de Oferta Declarado $/kWh
0.3530775488069414,429,290.0
0.7283707684902936,540,57.07706
0.6054234242535939,132,294.5
0.8435771853688778,1000,88.999
0.6182428780492185,400,300.0
0.8974759590629797,560,57.07702
0.7799565217391304,512,160.0
0.7702404062234037,1250,83.0
0.9552786644912628,170,57.07701
0.8026138532617421,306,57.077
0.972050948685654,396,57.07704
0.5137476310473374,600,200.0
1.085280747275558,207,57.07705
0.7225787613339482,405,74.0
0.7012422201381191,700,150.0
0.9871031468531468,51,155.0
0.8190513327901292,315,294.0
0.5503992628992629,1240,57.07703000000001
0.9293810425595534,819,79.0
0.9653303881350584,338,57.078
0.4630802603036875,429,100.0
0.7565177282207606,540,90.0
0.6083109104312571,132,294.5
0.8361167866159914,1000,57.07703000000001
0.6238648422980579,400,200.0
0.8971957062224467,560,57.07701
0.8063293413173652,512,160.0
0.7600730111979191,1250,57.07705
0.9322666761249438,170,57.07704
0.7896321732460443,306,57.07706
0.963691138829074,396,57.07702
0.5136747818480956,600,200.00001
1.087162428645563,207,57.077
0.6664430613185801,405,74.0
0.7068488362179214,700,78.0
0.9907884615384616,51,120.0
0.8165999301594692,315,294.0
0.6985380835380834,1240,85.0
0.923785906508522,819,65.0
0.9599570842537078,338,57.078
0.5684029284164859,429,80.00001
0.7187092892668058,540,57.07705
0.6103874861776631,132,294.5
0.8331705257104863,1000,57.07701
0.6185083631858217,400,57.07704
0.8930187619836899,560,57.07708
0.8288417078885706,512,160.0
0.7558818719937269,1250,80.0
0.9462985032276371,170,110.0
0.7826552382311492,306,57.07702
0.94950229553488,396,57.07706
0.5127189328779391,600,200.0
1.0535329527763364,207,57.07709000000001
0.5510872906101123,405,57.07703000000001
0.7592770057123369,700,78.0
0.0,51,120.0
0.8178256314747993,315,294.0
0.5121990171990172,1240,57.07706999999999
0.9174683544303798,819,65.0
0.9587522877879456,338,57.077
0.6432971800433839,429,70.0
0.7586603561687791,540,200.00001
0.6182634537412459,132,294.5
0.8300520229655786,1000,57.07701
0.6118160188901159,400,57.077
0.888259342987304,560,57.07705
0.8293741213225722,512,69.0
0.7453864764327311,1250,57.07708
0.9578357097254736,170,110.0
0.7770029790042633,306,57.07703000000001
0.9465424775525128,396,57.07704
0.5110507112064477,600,200.0
1.0492838609237156,207,57.07702
0.6177355155985862,405,160.0
0.7288089351180833,700,85.0
0.995417832167832,51,150.0
0.8252118496100571,315,294.0
0.28207002457002456,1240,57.07706
0.9114072560550184,819,65.0
0.9584834332597034,338,57.07706999999999
0.5239343817787419,429,57.244
0.7228477458687631,540,57.07701
0.6224161444894951,132,294.5
0.8221436337008186,1000,57.07702
0.6040531149837046,400,57.07704
0.8849151885760801,560,57.205
0.8536334287945847,512,120.00001
0.7389577615636924,1250,57.077
0.9488553120049182,170,75.0
0.7698237571130415,306,57.20502
0.9366915857473692,396,57.20504
0.5106403565403921,600,300.0
1.1078422418266736,207,57.20503000000001
0.7254210849854005,405,160.0
0.5827606786597322,700,57.20501
1.0018898601398605,51,105.0
0.8382167384472122,315,294.0
0.5140632678132677,1240,120.0
0.9068091298714244,819,61.00001
0.9573846639318396,338,57.07703000000001
0.3360276572668112,429,57.244
0.7173383603401252,540,57.07702
0.6245166789531883,132,294.5
0.8139079220464163,1000,57.24603000000001
0.6019080453578258,400,57.077
0.8806205528557347,560,57.24602
0.8341494402499349,512,60.0
0.7287333250456619,1250,82.1
0.930333404270412,170,95.0
0.7629053318824809,306,57.246
0.9295295169219518,396,57.205
0.5100238665472645,600,300.0
1.1064867669953296,207,57.24601
0.7728684493622254,405,150.0
0.6508483246653592,700,160.0
1.0018898601398605,51,100.0
0.8481812361773949,315,294.0
0.5834735872235872,1240,99.99
0.9133469550483404,819,369.0
0.9557399810665826,338,57.07701
0.22267895878524946,429,85.0
0.7118819188191883,540,57.118
0.6265927939550313,132,294.5
0.8058961157982695,1000,57.24603000000001
0.5986966358714683,400,57.11801
0.8788871534844034,560,57.246
0.8157386097370476,512,60.0
0.7314233119447658,1250,141.3
0.9240349010427751,170,95.0
0.7703392853957437,306,170.0
0.9123357575265104,396,57.24602
0.5077200158277276,600,109.5
1.078016606123508,207,57.24601
0.6518518518518519,405,75.0
0.7887799471395686,700,140.0
0.998181818181818,51,94.99
0.8516191363054358,315,294.0
0.4649155405405405,1240,82.0
0.9211093391807036,819,369.0
0.9535007888923952,338,57.077
0.44636388286334056,429,155.0
0.7494111984598106,540,146.1
0.6307694434205676,132,294.5
0.7986424611624752,1000,57.24601
0.5923961896553271,400,57.11801
